|nl|srn
766|Hij zei: Jij! Je werd weer levend door mijn bloed en dit is mijn dank?|A taki: Yu, yu kon na libi nanga mi brudu! Dan na disi na mi tangi, no?
400|Ze kwam met een stok in haar hand en begon mij te slaan.|A kon nanga wan tiki, a bigin fon mi.
122|De politie moet jouw ouders (voogd of verzorgers) vertellen dat je bij de politie moet blijven.|Skowtu abi fu ferteri yu m'ma nanga yu p'pa, noso den sma di e sorgu yu, taki yu mus' tan na den, den o hori yu.
3255|Haal de pot van boven op de kast voor me.|Puru a patu tapu a kasi gi mi.
202|De vertrouwenspersoon mag alleen luisteren.|Na arki nomo a furtrow sma mag arki.
3510|Als je een kind niet kan verzorgen, krijg ze dan niet.|Efu yu no man sorgu wan pikin, no go meki.
835|ER is niets in mijn portemonnaie.|Not'noti de ini a portmoni.
2294|Ik heb twee kaarten gekocht om de wedstrijd te gaan zien.|Mi bai tu karta fu go luku a plei.
1439|Je had me beloofd dat je me zou komen halen, maar je bent niet meer geweest. Je heb me gewoonweg in de steek gelaten.|Yu ben pramisi mi tak' yu bo kon teki mi, ma yu no kon moro. Yu beri en gi mi, boi!
1733|Je komt telkens laat.|Dorodoro yu e kon lati.
1695|Die vrouw is geheimzinnig. Ze weet haar zaken geheim te houden.|A uma dipibere. A sabi kibri en tori.
4047|De overheid heeft een wet vastgesteld dat de taal zo geschreven moeten worden.|Lanti naki wan wèt tak' na so yu mus skrifi a tongo.
1707|Sus dat kind. Laat het stil blijven.|Dodoi a pikin, meki a tan tiri.
4025|Ik ben er alleen vandaag.|Na mi wawan kon tide.
1153|Wat een grote plas voor zo'n kleine jongen van een paar maanden oud.|Wan pikin boi fu wantu mun, fa a kan kleine so wan bigi kleine?
1661|De rechter heeeft de man tot de doodstraf veroordeeld omdat hij een agent heeft vermoord.|Krutubakra gi a man dedestrafu fu di a kiri wan skowtu.
3474|De vissers beroken een deel van hun vangst om ze langer te houden.|Den fisman e smoko afu fu den fisi fu hori den moro langa.
2432|Opa Paulus vulde de fles tot de rand en plaatste daarna een kurk op de opening van de fles.|Owpa Paulus furu a batra te na a neki, dan a naki wan korku na a batra mofo.
4089|Hoe je mijn oma daar ziet, ze is ouder dan ze eruit ziet. Ze wordt zeventig jaar.|Fa yu si mi granmama dape, a tya yari. A o tapu seibitenti yari.
1759|De tijden zijn veranderd.|A ten drai.
854|Kip zei: Ik zal wel moeten.|Fowru taki: Ai, dati mi sa musu.
1589|Mijn oom heeft zich niet aan zijn woord gehouden. Hij heeft de fiets niet meer voor mij gekocht.|Mi omu bron mi. A no bai a baisigri gi mi moro.
2267|Toen die vrouw hulp was gaan zoeken bij een bonuman, moest ze een hele week in een hut doorbrengen.|Di a frow go suku yepi na wan bonuman, a ben mu tan wan heri wiki langa ini wan kampu.
641|Ik zeg niet dat je geen verdriet mag hebben.|Mi no taki yu no mu sari.
1|Wat zijn uw rechten?|San na yu leti?
2160|De vloer is zo glad als een spiegel.|A gron grati leki wan spikri.
698|U weet hoe de mug u steken kan en hoe zij in uw oren gonst.|Un sabi fa maskita kan sutu un èn fa a kan bari na ini sma yesi.
4062|Je hebt van die gemene mensen die kinderen drugs in speelgoed laten vervoeren zonder dat de arme kinderen het weten.|Yu abi fu den wiswasi sma di e meki pikinnengre tya weti ini preisani sondro fu den pôti pikin sabi.
2999|De politie onderzoekt de zaak.|Skowtu e ondrosuku a tori.
3696|Hij zwoor dat hij het niet gedaan had.|A man sweri tak' a no en du en.
1636|Toen de rijst begon te koken, kwam er een damp uit de pot.|Di a aleisi bigin kuku, wan dampu bigin komoto ini a patu.
3184|Het was al in me opgekomen dat ze ons zouden wegzenden.|Mi ben kisi a prakseri kba tak' den bo seni un gwe.
3458|We waren naar de kant van de rivier gegaan om die potten te schuren.|Un ben go na libasei fu go skuru den patu.
3457|Drink de gemberbier niet. Het gist al.|No dringi a dyindyabiri. A e kuku skuma.
3581|Maak geen grappen met deze hond.|No meki spotu nanga a dagu disi.
1291|Geef me een hand bacoven.|Gi mi wan anu bakba.
3947|Hij is gaan hengelen langs de rivier.|A go uku na libakanti.
2489|Ik mag geen melk drinken anders krijg ik jeuk.|Mi no man dringi merki noso mi e kisi kraskrasi.
1520|Ik heb mijn broertje gevraagd om deze boodschap voor m'n moeder te brengen.|Mi aksi mi pikin brada fu tyari a boskopu disi gi mi mama.
1853|Elke dag maak ik me bezorgd over wat ik vandaag zal eten.|Ala dei mi mu krasi mi ede fu sabi fa mi o nyan.
1136|Als hij huilt, kunt u hem geven.|Efu a e kreikrei, yu kan gi en.
3763|Kunt u alstublieft het kind voor me naar school brengen?|Mi e begi yu tangitangi, poti a pikin gi mi na skoro.
3304|Het vliegtuig kon niet landen omdat de lucht erg mistig was.|A plane no ben man saka bika a dow ben deki na loktu.
4005|Ga baden!|Go wasi!
1631|Telesur heeft me een boete opgelegd omdat ik te laat was met het betalen van mijn rekening.|Telesur meki mi pai wan butu fu di mi go tumsi lati fu pai.
3743|Wannneer we de campagne zullen houden, moeten we enkele goede sprekers zoeken.|Te wi o hori a campagne, un mu suku wantu bun takiman.
3445|Van schrik is hij flauw gevallen.|Na skreki meki a fadon flaw.
1998|Ik versnipperde het papier zodat men niet meer kon lezen wat erop stond.|Mi fin'fini a papira fu sma no leisi san ben skrifi na en tapu.
663|Ze kon ook een beetje lopen.|Ai fringi en futu pikinso, ma tog a kan waka.
683|De dood zei: Het is waar wat het lied zegt.|Dede taki: A tru, leki fa a singi taki.
1257|De kinderen hebben al de vruchten uit de bak opgegeten.|Den pikin nyan ala a froktu ini a baki.
3906|God is mijn troost.|Gado na mi trowstu.
3748|Zodra de kinderen thuis komen, beginnen ze aan je oren te kletsen.|Fa yu si den pikin doro, den bigin tak'taki na yu yesi.
317|We zongen dan met militaire begeleiding.|Bika te yu e go singi na pren yu e go singi nanga srudati poku.
648|Ik weet dat alles weer goed zal worden.|Ala sani e go kon bun.
1434|Je praat over heel wat onbelangrijke zaken.|Yu e gi wan lo berefuru tori.
1479|Als je amsoi met water kookt, is het bitterder dan als je het met olie kookt.|Te yu bori amsoi nanga watra, a e bita moro dan te yu e bori en nanga oli.
709|De vrouw stierf.|A frow dede.
3430|M'n vader zegt dat als je je best niet op school doet, je riolen zal graven.|Mi p'pa taki tak' efu yu no wani leri na skoro, yu o diki skopu.
1282|Ik verlang ernaar je te zien.|Mi e angri fu si yu.
1768|Gisteren zag ik op weg naar huis een wagen op zijn kop langs de weg liggen.|Esde di mi e go na oso mi si wan wagi drai tapu na sei pasi.
972|Kijk wat mij nu gaat overkomen.|Luku san e go miti mi now.
2675|Het leven van die vrouw is een en al armoede.|Sensi a frow dati de, en libi de so pinapina.
2680|We zullen het laten, morgen zullen we verder gaan.|Wi o libi en, dan tamara wi o go moro fara.
1306|De vrouw koestert een wrok tegen haar man, omdat hij voor haar heeft uitgelopen.|A frow hori en masra na ati fu di a waka gi en.
1400|Achter op het erf kun je de bedden nog zien waarop oma pinda geplant had.|Na bakadyari yu kan si den bedi ete pe oma ben prani pinda.
1408|Gisteren had ik het zo koud, dat ik begon te bibberen.|Esde mi kowru sote taki mi bigin beifi.
3296|Als je het vlees kookt, wordt het zacht.|Te yu e bori a meti, a e safu.
2237|Deze man huichelt. Je kan hem niet vertrouwen.|A man disi e hoigri. Yu no man fertrow en.
3302|De boot kantelde om en zonk.|A boto kanti, dan a saka go ondro a watra.
1496|Ze zijn buiten de stad om geesten te bezweren.|Den go na boiti go bonu.
3419|Morgen zal ik de buitenkant van het huis wassen.|Tamara mi e go wasi a ososkin.
2038|Ik ben het eerste kind van mijn moeder.|Mi na a fosi pikin fu mi mama.
1529|Die mensen stonden in een groep bij elkaar.|Den sma ben knapu ini wan bosu na makandra.
1663|Als je zeker weet dat je dit moet doen, doe het dan. Twijfel niet langer meer.|Efu yu sabi tak' na disi yu mus du, dan yu mus du en. No degedege moro langa.
1354|Heb ik je niet gisteren een fles olie gegeven? En vandaag kom je wederom terug om een andere te halen.|A no esde mi gi yu wan batra oli? Dan tide yu kon teki wan tra wan baka agen.
4043|A: Waarom zit je zo? B: Ach, het is vermoeidheid.|A: Sanede yu e sidon so? B: Baya, na weri skin nomo.
3869|De fles is hard dicht geschroefd. Ik kan hem niet openmaken.|A batra tapu tranga. Mi no man opo en.
4073|Nu is er geen werk.|Nownow wroko no de.
3627|Zet de zware doos niet op die tafel. Het is niet stevig.|No poti a hebi dosu tapu a tafra dati. A no steifi.
1643|Waarom zit je zo? Wat zit je dwars?|Fa yu e sidon so? San e dangra yu ede?
1051|Je zult dan zien hoe de aap van dansen houdt.|Drape yu e go si fa Monki lobi dansi!
795|Hoe Anansi zichzelf uit de problemen hielp|Fa Anansi Puru Ensrefı na Nowtu
2693|Ik kan niet met deze jongen opschieten. Hij luistert nooit naar wat je zegt.|Mi no lobi fa a boi disi e tan. Noiti a e arki te yu taki nanga en.
3060|Als mijn moeder kookt, verspreidt ze het vaat ordeloos in de hele keuken.|Te mi m'ma e bori, a e panyapanya dotisani ini a heri kukru.
1597|Kom niet binnen met je bemodderde broekspijpen!|No kon inisei nanga yu tokotoko brukufutu!
2604|Ik ben heel vroeg van huis gegaan, maar ik ben laat aangekomen.|Mi kmopo bun fruku na oso, ma mi doro lati.
2729|Toen de politie zag dat de man onschuldig was, werd hij in vrijheid gesteld.|Di den skowtu si taki a man no du noti, den lusu en.
2625|Het lek van het dak is groter geworden.|A leki fu a daki kon moro bigi.
1819|Deze man heeft geen vaste baan. Hij knapt slecht karweitjes op.|A man disi no abi fasti wroko. Na dyap a e naki.
3157|gerimpeld hand|ploiploi anu
3314|Omdat hij boos was schold hij me zonder reden uit. Maar ik gaf hem weer van langs.|Fu di en ati ben e bron meki a kosi mi fu soso. Ma mi saka baka gi en.
1722|Mijn moeder heeft het hemd eerst ondergedompeld in een sopje en daarna geborsteld, maar ze kreeg de vlek er niet uit.|Mi mama dopu a empi ini a sopo watra dan a bosro en, ma a flaka no kmoto fu en.
4011|De thee is slap.|A te watra.
1183|Zo heet ik.|Na mi nen dati.
2572|De straat heeft veel kuilen.|A pasi lai olo.
1059|De aap heeft jullie verteld dat ik slechts groot ben.|Monki taigi unu taki mi mi na bigi fu soso!
540|Ze wilden de man die kwam bedriegen.|Den ben wani bedrigi a man di kon.
3242|Ik probeerde gisteren bij jou te komen, maar het is me niet meer gelukt.|Mi ben pruberi fu kon esde na yu, ma mi no feni okasi fu kon moro.
1678|Dit is wat ik ervan denk, wat is jouw gedachte?|Disi na san mi e prakseri, san na yu denki?
2796|Laat me je iets vertellen.|Meki mi taigi yu wan sani.
4023|Zodra ik die rijpe bacoven daar zag, begon ik te watertanden.|Fa mi si den lepi bakba dape, mi kisi watramofo.
3478|Toen de politie de jongen kwam halen, was hij spoorloos verdwenen.|Di skowtu kon fu teki a boi, a ben smoko.
2532|Morgan gaat mijn zaak voor het gerecht.|Tamara a tori fu mi o go na krutu.
1757|Keer de stoel om.|Drai a sturu.
1923|Uit woede stak de man het huis in brand.|Fu di a man ati bron, a poti faya gi a oso.
95|Je bent aangehouden en meegenomen naar het politiebureau|Dat' meki wi wani fu yu leysi na papira disi bunbun.
1020|Ik zal ze allemaal afmaken.|Mi sa kiri den alamala.
563|Alleen maar liggen.|Soso didon.
3312|Je moet jezelf voor de Here vernederen.|Yu mu saka yusrefi gi Masra.
2790|Deze twee mensen zijn lesbisch.|Den tu sma disi e mati.
863|Kip moest om half tien komen.|So a taigi Fowru taki a mu kon afu tin.
3646|Iedereen schrok toen ze het vonnis hoorden dat tegen hem geveld werd.|Ala sma skreki di den yere a strafu di den leisi gi en.
3762|Hij dankte de vrouw niet eens maar ging weg.|A no taki a frow tangi srefi dan a gwe.
1484|Ik wens jullie een gezegende dag verder.|Mi e winsi un wan blesi dei go moro fara.
2939|Ze heeft geen enkel kind.|A no abi no wan pikin.
3625|Ik heb een uur lang moeten wachten voordat men een stempel op dat ding geplaatst had.|Mi ben abi fu tnapu wakti wan heri yuru langa fosi den naki wan stampu tapu a sani.
1881|A: Wat zullen we eten? Her'heri of moksi aleisi? B: Het maakt me niets uit.|A: San wi o nyan? Her'heri noso moksi aleisi? B: Mi na ala fa.
1038|Nodig alle dieren uit.|Yu mu kari ala meti.
206|De politie moet dan eerst aan de officier van justitie vragen of hij dit ook goed vindt.|Ma den sa mus' fu aksi a oficier fu yustitie efu ensrefi owktu agri nanga dati.
392|Hij verkocht bloedworst.|A ben seri bludworst.
2842|Wanneer we vanavond zullen zitten praten, moet er een versnappering zijn.|Te un o sidon taki tide neti, wan pikin sek'seki mofo mus de.
870|Awari gaf hem het geld.|Awari kon gi a sensi.
397|Zo stond ik een tijdje aan de bel te trekken.|A so mi bel wan heri pisi ten.
2814|Ik heb mijn hemd gescheurd.|Mi priti mi empi.
3982|A: Hoe laat kan het zijn? B: Het is ongeveer negen uur.|A: O lati a sa de? B: Un kan de wan neigi yuru.
3289|Voorzichtig met de tafel. De poten ervan zijn niet goed.|Safri nanga a tafra. Den futu fu en no bun.
1028|Hij heeft het hoogste cijfer van de advocaten.|A abi a moro hei punt fu afkati.
3840|Zet de bananeboom recht op, zet een stut ervoor en doe er wat aarde omheen.|Opo a banabon tnapu, kraka en, dan yu e poti doti gi en.
2690|Ik stond in een rij.|Mi tnapu ini wan lo.
1485|Als de politie niet gekomen was, zouden de jongens elkaar verwond hebben.|Efu skowtu no ben kon, dan den boi bo gi densrefi mankeri.
2660|Je kon het licht van de kaars op straat zien.|Yu ben kan si a leti fu a kandra na strati.
3810|Voordat je een huis bouwt moet je berekenen of je genoeg geld hebt.|Fosi yu bow wan oso, yu mus teri luku efu a moni fu yu sari.
960|Maar dat is niet voldoende.|Ma a no sari mi.
1570|Gisteren ben ik geld gaan wisselen bij de bank.|Esde mi go broko moni na bank.
2773|Voordat je schiet, moet je goed richten.|Fosi yu sutu, yu mus marki bun.
1895|Het is nu eb.|Now na fala watra un de.
2731|Om een geweer goed schoon te maken moet je het eerst uit elkaar halen.|Fu krin a gon bun yu mu lusu en fosi.
2146|Elke dag kook je gezouten vis. Straks krijg je gowt'man mofo.|Ala dei yu e bori sowt'fisi. Dalek yu o kisi gowtuman mofo.
804|Ga geld zoeken.|Yu mus go suku wan sensi.
1751|Wanneer ik klaar ben met eten, ga ik direkt het vaat afwassen.|Te mi kba nyan, m'o wasi den dot'sani wanten.
3645|Ik kan niet tegen het gehuil van dit kind wanneer het tandjes krijgt.|Mi no man nanga a stowtu san a pikin disi e stowtu te a e meki tifi.
2454|Ik kan niet met hem opschieten. Hij is gierig.|Mi no e koti nanga en. A gridi.
502|Ze verheugden zich al van te voren hoe ze hem zouden plukken.|So den sabi taki den go feni wan man fu den nyan sensi puru na en skin.
3119|Je maakt oproer.|Y'e meki leki pindakasi.
3104|Ze hebben alle volwassenen, kinderen en kinds kinderen van de plantage laten roepen.|Den seni kari ala bigisma, pikin, nanga pikin pikin fu a pranasi.
2977|Hij bad, dat hem geen kwaad zou overkomen op weg.|A begi fu no wan ogri no miti en na pasi.
779|Later werd dit stof heel kleine wormen, de wormen die u in watervaten vindt.|Dan a doti disi, bakaten a tron pikinpikin pikinpikin woron, den woron di yu e si na ini den watrabari.
1863|Hallo, Hendrik, wat doe je daar?|Ei, Hendrik, san yu e du dape?
200|Als je dit wilt, zeg dit dan tegen jouw advocaat en de politie.|Efu na so yu wani, taigi yu afkati nanga skowtu.
2182|Wij slapen boven, de kamers beneden zijn voor onze gasten.|Wi e sribi soso na sodro, den kamra na gron na fu wi fisiti.
3099|Je moet de rijst eerst uitlezen en dan koken.|Yu mus piki a aleisi fosi yu e bori en.
2088|Toen ik tien jaar oud was, ben ik naar de stad verhuisd.|Di mi ben abi tin yari, mi froisi kon na a foto.
3065|Pardon, meneer. Kunt u wat opschuiven?|Pardon, meneer. Yu kan dribi pikinso?
2278|Wie kaatst, moet de bal terug verwachten.|Te yu naki kapa lasi, yu sa yere boriman tongo.
3561|Ik versta die mannen niet. Ze spreken Spaans.|Mi no e ferstan den man. Den e taki Spanyoro.
1796|De vergadering was niet druk bezocht. Een voor een druppelde men naar binnen.|A konmakandra no ben span. Wanwan den sma dropu kon inisei.
378|Zij rollen ze, en als kind mocht je ze aansteken en dan roken tot er as ontstond.|Yu e lolo en, dan yu leki pikinnengre yu mag leti en èn smoko en, bron en meki a kan gi asisi.
2336|Elke familie heeft zijn geheimenissen die ze niet naar buiten brengen.|Ala famiri abi den kibritori san den no e puru kon na doro.
418|Je mocht niet werken; kinderen mochten niet op het erf spelen.|Yu no ben mag woko; pikinnengre no ben mag prei na prasi.
1698|De hond heeft mijn duur betaalde schoenen gebeten.|A dagu nyan mi dir'diri susu.
391|Vlak voor de Chinese winkel stond ook nog een worstenkar.|Leti na fesi a sneisi wenkri wan worst wagi ben tnapu.
2640|Deze vrouw is lichtgelovig.|A frow disi ede lekti.
1522|Gisteravond ontvingen we het bericht dat broer Alex is overleden.|Esde neti un kisi a boskopu taki ba Alexi lasi en libi.
1162|Ik heb hem niet aangeraakt, hoor.|Mi no fasi en, yèrè.
3134|Niet alles wat blinkt is goud.|Ala pir'tifi a no lafu.
1495|De jongen miste de bal en trapte tegen mijn scheenbeen.|A boi misi a bal dan a skopu mi na mi bonfutu.
